ID,rock_type
TEST_00000,Etc
TEST_00001,Etc
TEST_00002,Etc
TEST_00003,Mud_Sandstone
TEST_00004,Mud_Sandstone
TEST_00005,Mud_Sandstone
TEST_00006,Mud_Sandstone
TEST_00007,Mud_Sandstone
TEST_00008,Mud_Sandstone
TEST_00009,Mud_Sandstone
TEST_00010,Mud_Sandstone
TEST_00011,Mud_Sandstone
TEST_00012,Mud_Sandstone
TEST_00013,Mud_Sandstone
TEST_00014,Gneiss
TEST_00015,Mud_Sandstone
TEST_00016,Mud_Sandstone
TEST_00017,Mud_Sandstone
TEST_00018,Mud_Sandstone
TEST_00019,Basalt
TEST_00020,Mud_Sandstone
TEST_00021,Mud_Sandstone
TEST_00022,Mud_Sandstone
TEST_00023,Mud_Sandstone
TEST_00024,Mud_Sandstone
TEST_00025,Mud_Sandstone
TEST_00026,Mud_Sandstone
TEST_00027,Mud_Sandstone
TEST_00028,Mud_Sandstone
TEST_00029,Mud_Sandstone
TEST_00030,Mud_Sandstone
TEST_00031,Mud_Sandstone
TEST_00032,Mud_Sandstone
TEST_00033,Mud_Sandstone
TEST_00034,Mud_Sandstone
TEST_00035,Mud_Sandstone
TEST_00036,Mud_Sandstone
TEST_00037,Mud_Sandstone
TEST_00038,Mud_Sandstone
TEST_00039,Mud_Sandstone
TEST_00040,Mud_Sandstone
TEST_00041,Basalt
TEST_00042,Mud_Sandstone
TEST_00043,Mud_Sandstone
TEST_00044,Mud_Sandstone
TEST_00045,Mud_Sandstone
TEST_00046,Mud_Sandstone
TEST_00047,Andesite
TEST_00048,Mud_Sandstone
TEST_00049,Mud_Sandstone
TEST_00050,Mud_Sandstone
TEST_00051,Mud_Sandstone
TEST_00052,Mud_Sandstone
TEST_00053,Mud_Sandstone
TEST_00054,Mud_Sandstone
TEST_00055,Mud_Sandstone
TEST_00056,Mud_Sandstone
TEST_00057,Mud_Sandstone
TEST_00058,Mud_Sandstone
TEST_00059,Mud_Sandstone
TEST_00060,Mud_Sandstone
TEST_00061,Mud_Sandstone
TEST_00062,Mud_Sandstone
TEST_00063,Mud_Sandstone
TEST_00064,Mud_Sandstone
TEST_00065,Mud_Sandstone
TEST_00066,Mud_Sandstone
TEST_00067,Mud_Sandstone
TEST_00068,Mud_Sandstone
TEST_00069,Mud_Sandstone
TEST_00070,Mud_Sandstone
TEST_00071,Mud_Sandstone
TEST_00072,Mud_Sandstone
TEST_00073,Mud_Sandstone
TEST_00074,Mud_Sandstone
TEST_00075,Mud_Sandstone
TEST_00076,Mud_Sandstone
TEST_00077,Mud_Sandstone
TEST_00078,Mud_Sandstone
TEST_00079,Mud_Sandstone
TEST_00080,Mud_Sandstone
TEST_00081,Mud_Sandstone
TEST_00082,Mud_Sandstone
TEST_00083,Mud_Sandstone
TEST_00084,Mud_Sandstone
TEST_00085,Mud_Sandstone
TEST_00086,Mud_Sandstone
TEST_00087,Mud_Sandstone
TEST_00088,Mud_Sandstone
TEST_00089,Mud_Sandstone
TEST_00090,Mud_Sandstone
TEST_00091,Mud_Sandstone
TEST_00092,Mud_Sandstone
TEST_00093,Mud_Sandstone
TEST_00094,Mud_Sandstone
TEST_00095,Mud_Sandstone
TEST_00096,Mud_Sandstone
TEST_00097,Mud_Sandstone
TEST_00098,Mud_Sandstone
TEST_00099,Basalt
TEST_00100,Mud_Sandstone
TEST_00101,Basalt
TEST_00102,Mud_Sandstone
TEST_00103,Mud_Sandstone
TEST_00104,Mud_Sandstone
TEST_00105,Basalt
TEST_00106,Mud_Sandstone
TEST_00107,Mud_Sandstone
TEST_00108,Mud_Sandstone
TEST_00109,Mud_Sandstone
TEST_00110,Mud_Sandstone
TEST_00111,Mud_Sandstone
TEST_00112,Basalt
TEST_00113,Mud_Sandstone
TEST_00114,Mud_Sandstone
TEST_00115,Mud_Sandstone
TEST_00116,Mud_Sandstone
TEST_00117,Mud_Sandstone
TEST_00118,Mud_Sandstone
TEST_00119,Mud_Sandstone
TEST_00120,Mud_Sandstone
TEST_00121,Mud_Sandstone
